locid,Longitude,Latitude
586,135.26659,34.06912
587,135.12986,33.9249
588,135.11479,33.96422
589,135.24436,33.82953
590,135.32805,33.78677
591,135.28897,33.939
592,135.40052,33.64281
593,135.43644,33.70055
594,135.52162,33.54803
595,135.93151,33.62498
596,135.75596,33.56647
597,135.96505,33.9348
598,135.78794,33.48336
599,133.49649,35.4833
600,133.34997,35.34424
601,133.42541,35.36979
602,133.28523,35.15156
603,133.42313,35.22286
604,133.50029,35.28398
605,134.41354,35.33202
606,134.23832,35.25341
607,134.27372,35.39646
608,133.88491,35.3897
609,133.87459,35.48348
610,133.68547,35.48253
611,133.80432,35.48182
612,134.20641,35.48315
613,133.80169,35.42866
614,134.33733,35.56744
615,132.09961,34.87687
616,131.85906,34.66796
617,132.48412,35.15471
618,133.23283,35.40611
619,132.24091,35.00259
620,132.91749,35.28722
621,133.15077,35.4263
622,133.06273,35.1684
623,132.74277,35.06672
624,132.83398,35.38862
625,132.48255,34.98433
626,132.59129,35.03398
627,132.51811,34.87144
628,131.78004,34.51702
629,131.90235,34.38733
630,133.09854,36.08971
631,133.01972,36.09838
632,133.03875,36.01028
633,133.28491,36.24013
634,133.90456,34.86428
635,134.05562,34.73605
636,133.51343,34.50393
637,133.48263,34.60888
638,133.73426,34.67831
639,133.56506,34.81117
640,133.46612,35.00638
641,134.21938,34.77664
642,134.11431,34.66
643,133.70064,35.16956
644,134.19384,35.03291
645,133.59114,34.52519
646,134.1435,34.82305
647,133.58608,34.61888
648,133.56806,35.18153
649,133.92599,35.10874
650,134.12561,35.04967
651,134.17466,35.11568
652,134.34113,35.17679
653,133.95452,34.92383
654,134.00468,34.96846
655,133.73701,34.85209
656,132.2786,33.90497
657,132.07307,33.81219
658,132.04212,33.94953
659,132.08204,33.9233
660,131.34802,34.20903
661,131.28358,34.23228
662,131.5167,34.51726
663,131.67012,34.38075
664,131.46779,34.14025
665,131.45905,34.42061
666,132.1569,34.15373
667,131.12948,34.36539
668,132.11393,33.96289
669,131.19739,34.17078
670,131.83247,34.16189
671,134.58912,34.17335
672,134.64263,33.89591
673,134.30261,34.06019
674,134.27699,34.0907
675,134.12124,34.0631
676,133.88995,34.0029
677,134.51381,33.93248
678,134.40935,33.9004
679,134.458,33.98705
680,134.35777,33.98155
681,134.35766,33.81233
682,134.42285,33.66813
683,134.54415,33.75732
684,134.31589,33.62817
685,134.46235,34.13586
686,134.4156,34.11691
687,134.05512,34.00124
688,133.91758,34.04168
689,132.54808,33.21502
690,132.42371,33.4587
691,133.10269,33.92174
692,132.56553,33.52022
693,132.70978,33.74671
694,133.52152,33.93629
695,132.63517,33.41267
696,132.87498,33.79709
697,133.16466,34.25506
698,132.96642,33.63588
699,132.78601,33.74492
700,132.68329,33.55703
701,132.20839,33.4282
702,132.71831,33.21873
703,132.70234,33.28214
704,132.55745,32.9766
705,133.48974,33.49473
706,133.39099,33.59895
707,133.14514,33.5779
708,133.181,33.32504
709,133.28779,33.50008
710,133.24796,33.53688
711,132.92273,33.39355
712,133.36521,33.53071
713,133.10182,33.42054
714,133.07229,33.22638
715,132.70781,32.81452
716,132.85177,32.90314
717,133.03733,33.05171
718,134.14278,33.31472
719,133.90741,33.50552
720,133.64436,33.57196
721,133.41805,33.47996
722,133.30071,33.40189
723,132.73698,32.93049
724,132.94097,32.78811
725,132.8862,33.04029
726,133.73956,33.64025
727,134.28343,33.52823
728,134.0264,33.41934
729,133.98941,33.4477
730,134.05926,33.46196
731,134.06905,33.57172
732,133.81344,33.52378
733,133.58842,33.75495
734,133.72636,33.77952
735,133.53168,33.72962
736,133.41792,33.7848
737,130.75785,32.20875
738,130.41223,32.19977
739,130.70565,33.01001
740,130.79735,32.95407
741,130.64339,32.68175
742,130.39944,32.45363
743,131.08584,32.95369
744,130.81305,32.71836
745,130.76006,32.74262
746,130.81828,32.78749
747,130.80664,32.66622
748,131.0577,32.71044
749,130.6745,32.57428
750,130.53076,32.30223
751,130.45444,32.23786
752,130.83348,32.20152
753,130.94547,32.26165
754,130.98923,32.27388
755,131.02036,32.32037
756,130.81532,32.24604
757,130.83448,32.41319
758,130.76941,32.25421
759,130.65739,32.25688
760,130.92172,32.22082
761,130.16528,32.4174
762,130.73721,32.70386
763,130.68361,32.71285
764,130.82993,32.6171
765,130.62874,32.90473
766,130.55273,33.03453
767,130.61771,33.01524
768,130.69368,32.90852
769,130.87789,32.88169
770,131.08766,33.08378
771,131.06857,33.12885
772,131.2107,32.99866
773,131.15896,32.82136
774,130.90697,32.83043
775,131.03082,32.84344
776,130.05844,32.50268
777,131.65018,33.72107
778,131.54425,33.36933
779,131.19977,33.20629
780,131.14568,33.28417
781,130.93793,33.31493
782,131.87243,32.94425
783,131.77135,33.107
784,131.87037,33.07128
785,131.34101,32.98869
786,131.46359,33.57173
787,131.56578,33.43409
788,131.3303,33.53516
789,131.54504,32.9861
790,131.44194,33.21532
791,131.67909,33.55861
792,131.69173,32.69962
793,131.07551,31.75866
794,131.66977,32.57427
795,131.38012,31.60196
796,130.98365,31.99537
797,131.24763,31.46662
798,131.38759,32.10061
799,130.83273,32.04057
800,131.37228,31.67736
801,131.36585,31.5291
802,131.12237,31.73091
803,131.00973,31.92444
804,131.10166,31.96219
805,131.32579,31.99664
806,131.25175,31.99704
807,131.16064,32.22629
808,131.45836,32.1672
809,131.52515,32.19821
810,131.55843,32.25776
811,131.64714,32.47431
812,131.32841,32.53182
813,131.16006,32.46446
814,131.40016,32.44503
815,131.30985,32.72176
816,131.39044,32.65627
817,131.19687,32.66647
818,130.42995,31.33844
819,130.39109,31.38468
820,130.4723,31.91923
821,130.14512,32.15903
822,130.64679,32.00647
823,130.56983,31.76703
824,130.72607,31.9761
825,131.00106,31.44352
826,130.81578,31.23286
827,130.75752,31.14193
828,130.95869,31.33009
829,130.95769,30.52822
